"question","category","difficulty","company","role"
"How does Python's garbage collector handle reference cycles?","Python","Hard","Google","Software Engineer"
"What is the difference between yield and yield from in Python?","Python","Hard","Meta","Backend Engineer"
"Explain Python's dataclasses module and its advantages over plain classes.","Python","Medium","Microsoft","Software Engineer"
"What is the purpose of __slots__ in Python classes?","Python","Medium","Amazon","Backend Engineer"
"How do you implement a thread-safe queue in Python?","Python","Medium","Uber","Backend Engineer"
"What is the difference between collections.defaultdict and collections.Counter?","Python","Easy","Atlassian","Software Engineer"
"Explain how Python's importlib works and dynamic imports.","Python","Hard","Netflix","Backend Engineer"
"What are Python protocol classes (typing.Protocol) and structural subtyping?","Python","Hard","Apple","Software Engineer"
"What is the difference between std::map and std::unordered_map?","C++","Medium","Google","Software Engineer"
"Explain perfect forwarding and std::forward in C++.","C++","Hard","Microsoft","Software Engineer"
"What are coroutines in C++20 and how do they differ from threads?","C++","Hard","Apple","Software Engineer"
"Explain the difference between std::mutex and std::recursive_mutex.","C++","Medium","Amazon","Software Engineer"
"What is the difference between emplace_back and push_back in C++ vectors?","C++","Medium","Meta","Software Engineer"
"Explain the Aho-Corasick algorithm for multi-pattern string matching.","Data Structures and Algorithms","Hard","Google","Software Engineer"
"What is a red-black tree and how does it differ from an AVL tree?","Data Structures and Algorithms","Hard","Microsoft","Software Engineer"
"Explain the concept of lazy propagation in segment trees.","Data Structures and Algorithms","Hard","Amazon","Software Engineer"
"What is the edit distance problem and how is it solved with DP?","Data Structures and Algorithms","Medium","Google","Software Engineer"
"Explain the Boyer-Moore voting algorithm for finding the majority element.","Data Structures and Algorithms","Medium","Meta","Software Engineer"
"What is a treap and how does it combine BST and heap properties?","Data Structures and Algorithms","Hard","Uber","Software Engineer"
"Explain the difference between a min-heap and a max-heap with use cases.","Data Structures and Algorithms","Easy","TCS","Software Engineer"
"What is the longest increasing subsequence problem and its optimal solution?","Data Structures and Algorithms","Hard","Amazon","Software Engineer"
"What is the Flyweight design pattern and when is it useful?","OOP","Hard","Google","Software Engineer"
"Explain the Chain of Responsibility design pattern.","OOP","Medium","Microsoft","Software Engineer"
"What is the difference between the State pattern and the Strategy pattern?","OOP","Hard","Amazon","Software Engineer"
"Explain the Template Method design pattern with an example.","OOP","Medium","Meta","Software Engineer"
"What is the difference between coupling types: data, stamp, control, and content coupling?","OOP","Hard","Atlassian","Software Engineer"
"What is a database connection pool and why is it important?","DBMS","Medium","Amazon","Backend Engineer"
"Explain the difference between OLAP cubes and relational databases.","DBMS","Hard","Goldman Sachs","Data Analyst"
"What is a bloom filter and how is it used in databases?","DBMS","Hard","Google","Backend Engineer"
"Explain the concept of database replication and its types.","DBMS","Hard","Meta","Backend Engineer"
"What is a time-series database and how does it differ from a relational database?","DBMS","Medium","Netflix","Backend Engineer"
"How would you find the top N records per group in SQL?","SQL","Medium","Amazon","Data Analyst"
"What is a self-join and provide a practical use case?","SQL","Medium","Google","Data Analyst"
"How do you implement a recursive query in SQL using CTEs?","SQL","Hard","Microsoft","Data Analyst"
"Explain the difference between CROSS JOIN and NATURAL JOIN.","SQL","Medium","Uber","Data Analyst"
"How would you calculate a 7-day rolling average in SQL?","SQL","Hard","Goldman Sachs","Data Analyst"
"What is index cardinality and how does it affect query performance?","SQL","Hard","Meta","Data Analyst"
"Explain the difference between user space and kernel space.","Operating Systems","Medium","Google","Software Engineer"
"What is a context switch and what information is saved and restored?","Operating Systems","Medium","Amazon","Software Engineer"
"Explain the concept of demand paging and page replacement algorithms.","Operating Systems","Hard","Microsoft","Software Engineer"
"What is the difference between spin locks and mutexes?","Operating Systems","Hard","Meta","Backend Engineer"
"Explain the fork-exec model for process creation in Unix.","Operating Systems","Medium","Apple","Software Engineer"
"What is the difference between connection-oriented and connectionless protocols?","Computer Networks","Easy","TCS","Backend Engineer"
"Explain TCP congestion control mechanisms: slow start, AIMD, and fast recovery.","Computer Networks","Hard","Google","Backend Engineer"
"What is multicast networking and how does it differ from broadcast?","Computer Networks","Medium","Amazon","Backend Engineer"
"Explain SSL/TLS certificate pinning and its security benefits.","Computer Networks","Hard","Apple","Backend Engineer"
"What is software-defined networking (SDN) and how does it separate control and data planes?","Computer Networks","Hard","Microsoft","Backend Engineer"
"Explain the concept of conformal prediction for uncertainty quantification.","Machine Learning","Hard","Google","ML Engineer"
"What is federated learning and what privacy benefits does it offer?","Machine Learning","Hard","Apple","ML Engineer"
"Explain the difference between online learning and batch learning.","Machine Learning","Medium","Amazon","Data Scientist"
"What is a confusion matrix and how do you derive metrics from it?","Machine Learning","Easy","Accenture","Data Scientist"
"Explain Gaussian Processes and their use in Bayesian optimization.","Machine Learning","Hard","Microsoft","ML Engineer"
"What is the difference between collaborative and content-based filtering?","Machine Learning","Medium","Netflix","Data Scientist"
"What is multi-task learning and when does it outperform single-task models?","Machine Learning","Hard","Meta","ML Engineer"
"Explain Neural Architecture Search (NAS) and its main approaches.","Deep Learning","Hard","Google","ML Engineer"
"What is a variational autoencoder (VAE) and how does it differ from a standard autoencoder?","Deep Learning","Hard","Meta","ML Engineer"
"Explain the concept of self-supervised learning and provide examples.","Deep Learning","Hard","Apple","ML Engineer"
"What is the difference between sparse and dense attention in Transformers?","Deep Learning","Hard","Amazon","ML Engineer"
"Explain the concept of curriculum learning in training neural networks.","Deep Learning","Hard","Microsoft","ML Engineer"
"What is the difference between one-stage and two-stage object detectors?","Computer Vision","Hard","Google","Computer Vision Engineer"
"Explain the concept of deformable convolutions in deep learning.","Computer Vision","Hard","Meta","Computer Vision Engineer"
"What is camera calibration and why is it necessary in computer vision?","Computer Vision","Medium","Apple","Computer Vision Engineer"
"Explain contrastive learning and how SimCLR trains visual representations.","Computer Vision","Hard","Google","Computer Vision Engineer"
"What is panoptic segmentation and how does it combine semantic and instance segmentation?","Computer Vision","Hard","Adobe","Computer Vision Engineer"
"Explain the concept of chain-of-thought prompting in large language models.","NLP","Hard","Google","ML Engineer"
"What is instruction tuning and how does it improve LLM alignment?","NLP","Hard","Meta","ML Engineer"
"Explain the difference between word-level and character-level language models.","NLP","Medium","Amazon","Data Scientist"
"What is dependency parsing and how does it differ from constituency parsing?","NLP","Hard","Microsoft","ML Engineer"
"Explain the concept of knowledge graphs and their use in NLP applications.","NLP","Medium","Google","Data Scientist"
"How do you implement early stopping in a PyTorch training loop?","PyTorch","Medium","Amazon","ML Engineer"
"What is torch.compile in PyTorch 2.0 and how does it improve performance?","PyTorch","Hard","Meta","ML Engineer"
"How do you implement a custom loss function in PyTorch?","PyTorch","Medium","Google","ML Engineer"
"Explain how to use PyTorch's Hooks for debugging and feature extraction.","PyTorch","Hard","Microsoft","ML Engineer"
"What is the difference between tf.Variable and tf.constant?","TensorFlow","Easy","Google","ML Engineer"
"Explain TensorFlow's tf.keras.callbacks.ModelCheckpoint and its use.","TensorFlow","Medium","Amazon","ML Engineer"
"What is TensorFlow Probability and what problems does it solve?","TensorFlow","Hard","Google","ML Engineer"
"How do you export and load a TensorFlow model for inference?","TensorFlow","Medium","Microsoft","ML Engineer"
"What is multicollinearity and how does it affect regression models?","Data Science","Medium","Goldman Sachs","Data Scientist"
"Explain the difference between Pearson and Spearman correlation coefficients.","Data Science","Medium","Amazon","Data Analyst"
"What is causal inference and how does propensity score matching work?","Data Science","Hard","Uber","Data Scientist"
"Explain the concept of statistical power and how sample size affects it.","Data Science","Medium","Meta","Data Analyst"
"What is Benford's Law and how is it used in fraud detection?","Data Science","Medium","Goldman Sachs","Data Analyst"
"What is the React reconciliation process and how do keys help?","React","Hard","Meta","Frontend Engineer"
"Explain the concept of render props pattern in React.","React","Medium","Netflix","Frontend Engineer"
"What is Zustand and how does it differ from Redux for state management?","React","Medium","Atlassian","Frontend Engineer"
"Explain how to implement infinite scrolling in React.","React","Medium","Uber","Frontend Engineer"
"What are React's strict mode warnings and what issues do they reveal?","React","Medium","Adobe","Frontend Engineer"
"Explain the difference between EventEmitter and streams in Node.js.","NodeJS","Hard","Netflix","Backend Engineer"
"How does Node.js handle memory leaks and what tools detect them?","NodeJS","Hard","Amazon","Backend Engineer"
"What is tRPC and how does it enable type-safe APIs in Node.js?","NodeJS","Medium","Microsoft","Backend Engineer"
"Explain how to implement WebSocket connections in Node.js using ws library.","NodeJS","Medium","Uber","Backend Engineer"
"How would you design a distributed transaction system across microservices?","System Design","Hard","Goldman Sachs","Backend Engineer"
"Design a content moderation system for a social media platform.","System Design","Hard","Meta","ML Engineer"
"How would you design a multi-tenant SaaS application architecture?","System Design","Hard","Atlassian","Software Engineer"
"Design a fraud detection system for a payment processing platform.","System Design","Hard","Goldman Sachs","Data Scientist"
"How would you design a search engine's indexing and ranking pipeline?","System Design","Hard","Google","Software Engineer"
"What is the difference between horizontal and vertical scaling?","DevOps","Easy","Amazon","Software Engineer"
"Explain the concept of canary analysis with metrics-based automated rollback.","DevOps","Hard","Netflix","Backend Engineer"
"What is eBPF and how is it used in modern observability tooling?","DevOps","Hard","Google","Backend Engineer"
"Explain the twelve-factor app methodology.","DevOps","Medium","Atlassian","Software Engineer"
